"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 03 17:19:23 GMT 2025","Mon Nov 03 17:19:24 GMT 2025","494","UI тесты","Конфигуратор","Тесты переключателей","","","Переключение на П-образную столешницу","Переключение на П-образную столешницу – отображается П-образная столешница"
"passed","Mon Nov 03 17:18:48 GMT 2025","Mon Nov 03 17:18:54 GMT 2025","6370","UI тесты","Авторизация","Позитивные сценарии","","","test_successful_login[chromium]","Успешная авторизация"
"passed","Mon Nov 03 17:18:58 GMT 2025","Mon Nov 03 17:19:15 GMT 2025","17135","UI тесты","Конфигуратор","E2E сценарии","","","E2E: Собрать заказ с полной конфигурацией","
        Сценарий: Собрать заказ с П-образной столешницей, толщиной 4,
        без плинтуса, с островом и проточками, цвет N-103 Gray Onix.
        "
"passed","Mon Nov 03 17:19:19 GMT 2025","Mon Nov 03 17:19:19 GMT 2025","489","UI тесты","Конфигуратор","Тесты переключателей","","","Проверка 'Скрыть столешницу'","Проверить, что работает переключатель 'Скрыть столешницу' – столешница не отображается"
