"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить, что работает переключатель 'Скрыть столешницу' – столешница не отображается","307","Проверка 'Скрыть столешницу'","UI тесты","Tue Nov 04 16:51:59 UTC 2025","passed","Tue Nov 04 16:52:00 UTC 2025","Тесты переключателей","Конфигуратор","",""
"
        Сценарий: Собрать заказ с П-образной столешницей, толщиной 4,
        без плинтуса, с островом и проточками, цвет N-103 Gray Onix.
        ","10301","E2E: Собрать заказ с полной конфигурацией","UI тесты","Tue Nov 04 16:51:45 UTC 2025","passed","Tue Nov 04 16:51:55 UTC 2025","E2E сценарии","Конфигуратор","",""
"Успешная авторизация","5783","test_successful_login[chromium]","UI тесты","Tue Nov 04 16:51:35 UTC 2025","passed","Tue Nov 04 16:51:41 UTC 2025","Позитивные сценарии","Авторизация","",""
"Переключение на П-образную столешницу – отображается П-образная столешница","358","Переключение на П-образную столешницу","UI тесты","Tue Nov 04 16:52:03 UTC 2025","failed","Tue Nov 04 16:52:04 UTC 2025","Тесты переключателей","Конфигуратор","",""
