"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Сценарий: Собрать заказ с П-образной столешницей, толщиной 4,
        без плинтуса, с островом и проточками, цвет N-103 Gray Onix.
        ","12326","E2E: Собрать заказ с полной конфигурацией","UI тесты","Tue Nov 04 10:49:51 UTC 2025","passed","Tue Nov 04 10:50:03 UTC 2025","E2E сценарии","Конфигуратор","",""
"Проверить, что работает переключатель 'Скрыть столешницу' – столешница не отображается","431","Проверка 'Скрыть столешницу'","UI тесты","Tue Nov 04 10:50:09 UTC 2025","passed","Tue Nov 04 10:50:09 UTC 2025","Тесты переключателей","Конфигуратор","",""
"Переключение на П-образную столешницу – отображается П-образная столешница","500","Переключение на П-образную столешницу","UI тесты","Tue Nov 04 10:50:20 UTC 2025","passed","Tue Nov 04 10:50:20 UTC 2025","Тесты переключателей","Конфигуратор","",""
"Успешная авторизация","4598","test_successful_login[chromium1]","UI тесты","Tue Nov 04 10:49:42 UTC 2025","passed","Tue Nov 04 10:49:46 UTC 2025","Позитивные сценарии","Авторизация","",""
